date,game_no,team,order,name,avg
2015-03-28,1,한화 이글스,1,이용규,0.0
2015-03-28,1,한화 이글스,2,권용관,0.0
2015-03-28,1,한화 이글스,3,김경언,0.0
2015-03-28,1,한화 이글스,4,김태균,0.0
2015-03-28,1,한화 이글스,5,김회성,0.0
2015-03-28,1,한화 이글스,6,모건,0.0
2015-03-28,1,한화 이글스,7,정범모,0.0
2015-03-28,1,한화 이글스,8,송주호,0.0
2015-03-28,1,한화 이글스,9,강경학,0.0
2015-03-28,1,넥센 히어로즈,1,서건창,0.0
2015-03-28,1,넥센 히어로즈,2,이택근,0.0
2015-03-28,1,넥센 히어로즈,3,유한준,0.0
2015-03-28,1,넥센 히어로즈,4,박병호,0.0
2015-03-28,1,넥센 히어로즈,5,김민성,0.0
2015-03-28,1,넥센 히어로즈,6,스나이더,0.0
2015-03-28,1,넥센 히어로즈,7,이성열,0.0
2015-03-28,1,넥센 히어로즈,8,김하성,0.0
2015-03-28,1,넥센 히어로즈,9,김재현,0.0
2015-03-28,2,한화 이글스,1,이용규,0.0
2015-03-28,2,한화 이글스,2,권용관,0.167
2015-03-28,2,한화 이글스,3,김경언,0.4
2015-03-28,2,한화 이글스,4,김태균,0.0
2015-03-28,2,한화 이글스,5,김회성,0.2
2015-03-28,2,한화 이글스,6,모건,0.8
2015-03-28,2,한화 이글스,7,정범모,0.0
2015-03-28,2,한화 이글스,8,송주호,0.0
2015-03-28,2,한화 이글스,9,강경학,0.5
2015-03-28,2,넥센 히어로즈,1,서건창,0.333
2015-03-28,2,넥센 히어로즈,2,이택근,0.2
2015-03-28,2,넥센 히어로즈,3,유한준,0.333
2015-03-28,2,넥센 히어로즈,4,박병호,0.0
2015-03-28,2,넥센 히어로즈,5,김민성,0.5
2015-03-28,2,넥센 히어로즈,6,스나이더,0.0
2015-03-28,2,넥센 히어로즈,7,이성열,0.25
2015-03-28,2,넥센 히어로즈,8,김하성,0.2
2015-03-28,2,넥센 히어로즈,9,김재현,0.0
2015-03-28,3,NC 다이노스,1,박민우,0.0
2015-03-28,3,NC 다이노스,2,이종욱,0.0
2015-03-28,3,NC 다이노스,3,나성범,0.0
2015-03-28,3,NC 다이노스,4,테임즈,0.0
2015-03-28,3,NC 다이노스,5,모창민,0.0
2015-03-28,3,NC 다이노스,6,이호준,0.0
2015-03-28,3,NC 다이노스,7,손시헌,0.0
2015-03-28,3,NC 다이노스,8,김태군,0.0
2015-03-28,3,NC 다이노스,9,김종호,0.0
2015-03-28,3,두산 베어스,1,민병헌,0.0
2015-03-28,3,두산 베어스,2,정수빈,0.0
2015-03-28,3,두산 베어스,3,김현수,0.0
2015-03-28,3,두산 베어스,4,루츠,0.0
2015-03-28,3,두산 베어스,5,홍성흔,0.0
2015-03-28,3,두산 베어스,6,오재원,0.0
2015-03-28,3,두산 베어스,7,양의지,0.0
2015-03-28,3,두산 베어스,8,김재환,0.0
2015-03-28,3,두산 베어스,9,김재호,0.0
2015-03-28,4,KT 위즈,1,김동욱,0.0
2015-03-28,4,KT 위즈,2,이대형,0.0
2015-03-28,4,KT 위즈,3,박경수,0.0
2015-03-28,4,KT 위즈,4,마르테,0.0
2015-03-28,4,KT 위즈,5,김상현,0.0
2015-03-28,4,KT 위즈,6,신명철,0.0
2015-03-28,4,KT 위즈,7,김지열,0.0
2015-03-28,4,KT 위즈,8,박기혁,0.0
2015-03-28,4,KT 위즈,9,용덕한,0.0
2015-03-28,4,롯데 자이언츠,1,아두치,0.0
2015-03-28,4,롯데 자이언츠,2,황재균,0.0
2015-03-28,4,롯데 자이언츠,3,손아섭,0.0
2015-03-28,4,롯데 자이언츠,4,최준석,0.0
2015-03-28,4,롯데 자이언츠,5,박종윤,0.0
2015-03-28,4,롯데 자이언츠,6,강민호,0.0
2015-03-28,4,롯데 자이언츠,7,김대우,0.0
2015-03-28,4,롯데 자이언츠,8,정훈,0.0
2015-03-28,4,롯데 자이언츠,9,문규현,0.0
2015-03-28,5,SK 와이번스,1,이명기,0.0
2015-03-28,5,SK 와이번스,2,박계현,0.0
2015-03-28,5,SK 와이번스,3,이재원,0.0
2015-03-28,5,SK 와이번스,4,박정권,0.0
2015-03-28,5,SK 와이번스,5,브라운,0.0
2015-03-28,5,SK 와이번스,6,임훈,0.0
2015-03-28,5,SK 와이번스,7,나주환,0.0
2015-03-28,5,SK 와이번스,8,정상호,0.0
2015-03-28,5,SK 와이번스,9,김성현,0.0
2015-03-28,5,삼성 라이온즈,1,나바로,0.0
2015-03-28,5,삼성 라이온즈,2,박한이,0.0
2015-03-28,5,삼성 라이온즈,3,박석민,0.0
2015-03-28,5,삼성 라이온즈,4,최형우,0.0
2015-03-28,5,삼성 라이온즈,5,이승엽,0.0
2015-03-28,5,삼성 라이온즈,6,구자욱,0.0
2015-03-28,5,삼성 라이온즈,7,박해민,0.0
2015-03-28,5,삼성 라이온즈,8,이지영,0.0
2015-03-28,5,삼성 라이온즈,9,김상수,0.0
2015-03-28,6,LG 트윈스,1,오지환,0.0
2015-03-28,6,LG 트윈스,2,정성훈,0.0
2015-03-28,6,LG 트윈스,3,박용택,0.0
2015-03-28,6,LG 트윈스,4,최승준,0.0
2015-03-28,6,LG 트윈스,5,정의윤,0.0
2015-03-28,6,LG 트윈스,6,이병규,0.0
2015-03-28,6,LG 트윈스,7,채은성,0.0
2015-03-28,6,LG 트윈스,8,최경철,0.0
2015-03-28,6,LG 트윈스,9,손주인,0.0
2015-03-28,6,KIA 타이거즈,1,김주찬,0.0
2015-03-28,6,KIA 타이거즈,2,강한울,0.0
2015-03-28,6,KIA 타이거즈,3,필,0.0
2015-03-28,6,KIA 타이거즈,4,나지완,0.0
2015-03-28,6,KIA 타이거즈,5,최희섭,0.0
2015-03-28,6,KIA 타이거즈,6,이범호,0.0
2015-03-28,6,KIA 타이거즈,7,김원섭,0.0
2015-03-28,6,KIA 타이거즈,8,최용규,0.0
2015-03-28,6,KIA 타이거즈,9,이성우,0.0
2015-03-29,1,한화 이글스,1,김경언,0.4
2015-03-29,1,한화 이글스,2,이용규,0.0
2015-03-29,1,한화 이글스,3,모건,0.8
2015-03-29,1,한화 이글스,4,김태균,0.0
2015-03-29,1,한화 이글스,5,김회성,0.2
2015-03-29,1,한화 이글스,6,정범모,0.0
2015-03-29,1,한화 이글스,7,고동진,0.0
2015-03-29,1,한화 이글스,8,강경학,0.5
2015-03-29,1,한화 이글스,9,권용관,0.167
2015-03-29,1,넥센 히어로즈,1,서건창,0.333
2015-03-29,1,넥센 히어로즈,2,이택근,0.2
2015-03-29,1,넥센 히어로즈,3,유한준,0.333
2015-03-29,1,넥센 히어로즈,4,박병호,0.0
2015-03-29,1,넥센 히어로즈,5,김민성,0.5
2015-03-29,1,넥센 히어로즈,6,스나이더,0.0
2015-03-29,1,넥센 히어로즈,7,이성열,0.25
